id,owner_name,shop_name,email,mobile,rating,address,city,latitude,longitude
1,Priya Natarajan,Natarajan Kitchen,priya.natarajan1@gmail.com,9790442493,3.48,"39, Velachery, Chennai",Chennai,13.005541,80.318818
2,Naveen Reddy,Reddy Kitchen,naveen.reddy2@testmail.com,9003866032,3.27,"67, Old Mahabalipuram Road, Chennai",Chennai,13.131734,80.070394
3,Karthik Reddy,Reddy Kitchen,karthik.reddy3@gmail.com,9840015941,4.79,"172, Ambattur, Chennai",Chennai,13.177144,80.158758
4,Vikram Natarajan,Natarajan Kitchen,vikram.natarajan4@testmail.com,9841981898,3.99,"24, Velachery, Chennai",Chennai,13.119964,80.309276
5,Divya Subramanian,Subramanian Kitchen,divya.subramanian5@mail.com,9790363212,4.94,"113, Mylapore, Chennai",Chennai,13.050861,80.235792
6,Meena Nair,Nair Kitchen,meena.nair6@testmail.com,9444158673,4.76,"38, Guindy, Chennai",Chennai,13.095044,80.147096
7,Naveen Kumar,Kumar Kitchen,naveen.kumar7@testmail.com,9840034864,4.81,"176, T. Nagar, Chennai",Chennai,13.106982,80.094553
8,Senthil Krishnan,Krishnan Kitchen,senthil.krishnan8@mail.com,9840644134,4.72,"42, Thiruvanmiyur, Chennai",Chennai,13.126271,80.351787
9,Vijay Kumar,Kumar Kitchen,vijay.kumar9@example.com,9844177656,4.65,"179, Old Mahabalipuram Road, Chennai",Chennai,13.101267,80.140743
10,Bhavani Nair,Nair Kitchen,bhavani.nair10@example.com,9444700272,3.8,"161, Old Mahabalipuram Road, Chennai",Chennai,13.062744,80.032893
11,Suresh Natarajan,Natarajan Kitchen,suresh.natarajan11@testmail.com,9842965772,3.35,"152, Guindy, Chennai",Chennai,13.159906,80.079465
12,Vijay Subramanian,Subramanian Kitchen,vijay.subramanian12@mail.com,9842669300,4.81,"119, Velachery, Chennai",Chennai,13.052357,80.340732
13,Karthik Krishnan,Krishnan Kitchen,karthik.krishnan13@example.com,9790942152,3.03,"135, Mylapore, Chennai",Chennai,13.154672,80.371314
14,Meena Iyer,Iyer Kitchen,meena.iyer14@mail.com,9843334476,3.86,"53, Nungambakkam, Chennai",Chennai,13.043113,80.329636
15,Deepa Krishnan,Krishnan Kitchen,deepa.krishnan15@gmail.com,9842620443,4.81,"95, Nungambakkam, Chennai",Chennai,13.136853,80.183266
16,Arjun Reddy,Reddy Kitchen,arjun.reddy16@testmail.com,9842563669,3.15,"143, Anna Salai, Chennai",Chennai,13.010423,80.372426
17,Meena Subramanian,Subramanian Kitchen,meena.subramanian17@gmail.com,9840048964,4.34,"34, Greams Road, Chennai",Chennai,13.008225,80.071749
18,Suresh Nair,Nair Kitchen,suresh.nair18@gmail.com,9003572158,3.28,"30, Guindy, Chennai",Chennai,13.008832,80.051149
